Unicef, 18 Tremont St #820 Boston, MA 02108
United Way Worldwide,484 Main St #300 Worcester MA 01608
Task Force for Global Health,325 Swanton Way Decatur GA 30030
Feeding America, 1627 I St NW Washington DC 20006
Salvation Army,640 Main St Worcester MA 01608
YMCA of the USA,766 Main St Worcester MA 01610
St.Jude Children's Research Hospital, 181 Putnam Pike Johnston RI 02919
Food for the Poor,6401 Lyons Rd Coconut Creek FL 33073
Boys and Girls Club of America,32 Great Brook Valley Ave Worcester MA 01605
Catholic Charities USA,2050 Ballenger Avenue Suite 400 Alexandria VA 22314
Goodwil Industries International,25 Park Ave Worcester MA 01605
Habitat for Humanity,640 Lincoln St Worcester MA 01605
Direct Relief,27 S. La Patera Lane Santa Barbara CA 93117
Lutheran Services in America,100 Maryland Ave NE Washington DC 20002
American Heart Association ,300 5th Ave Waltham MA 02451
American National Red Cross,2000 Century Dr Worcester MA 01606
Samaritan's Purse,Boone NC 28607
Wounded Warrior Project,"4899 Belfort Road, Suite 300 Jacksonville FL 32256"
Feed the Children,PO Box 36 Oklahoma City OK 73101-0036
Good 360,675 N Washington St Alexandria VA 22314
Planned Parenthood Federation of America,1110 Vermont Ave NW Washington DC
100 Black Men of America,141 Auburn Ave NE Atlanta GA 30303
Alzheimer’s Disease Research,22512 Gateway Center Drive Clarksburg MD 20871
American Brain Foundation,201 Chicago Ave Minneapolis MN 55415
American Campaign for Prevention of Child Abuse and Family Violence,1025 Connecticut Ave NW Suite 1000 Washington DC 20036 USA 
American Center for Law and Justice,1333 REGENT UNIVERSITY DR STE 101 VIRGINIA BCH VA 23464
"American Civil Liberties Union Foundation, Inc.",125 Broad Street 18th Floor New York NY 10004
Amnesty International USA,5 Pennsylvania Plaza New York NY 10001
AMVETS National Service Foundation,4647 Forbes Blvd Lanham MD 20706
Best Friends Animal Society,307 W Broadway New York NY 10013
Boy Scouts of America, 19 Harvard St Worcester MA 01609
Canine Partners For Life,334 Faggs Manor Rd Cochranville PA 19330
Christian Appalachian Project,485 Ponderosa Drive P.O. Box 1768 Paintsville KY 41240
The Conservation Fund,1655 Fort Myer Dr Arlington VA 22209
Diabetes Research & Wellness Foundation,14 Northney Rd Hayling Island PO11 0NH UK
DECA ×,2500 Castle Dr Suite F-2 Manhattan NY 10282
Dress for Success Worldwide,484 Main St Worcester MA 01608
Feeding America,35 East Wacker Drive Suite 2000 Chicago IL 60601  
Foster Care To Success Foundation,23811 Chagrin Boulevard Suite 210 Cleveland OH 44122
Latino Youth Education Fund,3335 Watt Ave #253 Sacramento CA 95821 USA
Meals On Wheels America,1550 Crystal Drive Suite 1004 Arlington Virginia 22202
Mercy Housing,211 Wethersfield Ave Hartford CT 06114
Mothers Against Drunk Driving,511 E John Carpenter Freeway Irving TX 75062
NAACP Foundation,4805 Mt Hope Drive Baltimore MD 21215
